City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,baise city,23.8997,106.6133,293.73,98,100,0.09,CN,1698535158
292,vilyuchinsk,52.9306,158.4028,277.0,67,100,1.59,RU,1698534914
293,al kharj,24.155,47.3346,295.47,29,57,2.6,SA,1698535163
294,assab,13.0092,42.7394,301.45,79,40,8.83,ER,1698535165
295,the bottom,17.6259,-63.2492,299.22,81,100,8.65,BQ,1698535167
296,hotan,37.0997,79.9269,286.1,20,3,1.67,CN,1698535169
297,fort st. john,56.2499,-120.8529,274.09,55,20,3.09,CA,1698535171
298,bontang,0.1333,117.5,298.67,86,51,1.72,ID,1698535174
299,ungsang-nodongjagu,42.3578,130.4622,279.35,44,9,1.14,KP,1698535176
300,pasuquin,18.3328,120.6177,298.12,88,20,1.54,PH,1698535178
301,rabigh,22.7986,39.0349,296.26,87,100,4.46,SA,1698535180
302,i-n-salah,27.1935,2.4607,301.04,16,100,1.51,DZ,1698535183
303,bowen,-20.0167,148.2333,297.8,57,41,8.5,AU,1698535185
304,mata-utu,-13.2816,-176.1745,300.65,82,45,6.2,WF,1698535187
305,vikhorevka,56.1201,101.1636,263.92,61,27,2.5,RU,1698535189
306,mukalla,14.5425,49.1242,299.07,73,4,2.13,YE,1698535193
307,faya-largeau,17.9257,19.1043,300.15,15,13,5.65,TD,1698535195
308,smithers,54.7804,-127.1743,277.33,38,20,1.03,CA,1698535197
309,ulladulla,-35.35,150.4667,296.91,30,1,1.23,AU,1698535200
310,saint-pierre,-21.3393,55.4781,295.97,73,0,1.03,RE,1698535202
311,polyarnyy,69.1989,33.4478,266.81,93,96,1.59,RU,1698535204
312,dryden,49.7833,-92.7503,270.31,86,100,3.6,CA,1698535206
313,reggane,26.7158,0.1714,302.78,17,37,3.94,DZ,1698535208
314,spencer,43.1414,-95.1444,271.21,87,100,3.09,US,1698535210
315,sirte,31.2089,16.5887,296.82,71,2,3.75,LY,1698535213
316,suksun,57.1431,57.3949,270.71,91,100,7.18,RU,1698535215
317,kuacjok,8.3002,27.9903,295.17,94,91,0.6,SS,1698535217
318,thames,-37.1333,175.5333,288.65,58,96,7.86,NZ,1698535219
